X,Y,POTEAU_ID_POT,PANNEAU_ID_PAN,PANNEAU_ID_RPA,DESCRIPTION_RPA,CODE_RPA,FLECHE_PAN,DESCRIPTION_REP,X_EPSG32188,Y_EPSG32188,Longitude,Latitude,DESCRIPTION_CAT,NOM_ARR
-73.5964022257805,45.5263412502085,222934,1142408,14087,\P 08h-09h MER. 1 AVRIL AU 1 DEC.,SU-NA-A,0,Réel,297269.656,5042940.5,-73.5964022257805,45.5263412502085,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5964022257805,45.5263412502085,222934,1142409,1589,\P RESERVE S3R 09h-23h,R-PF,2,Réel,297269.656,5042940.5,-73.5964022257805,45.5263412502085,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5976929776511,45.527136511418,224921,1142162,11,\A EN TOUT TEMPS,AD-TT,0,Réel,297168.938,5043029,-73.5976929776511,45.527136511418,STATIONNEMENT,Le Plateau-Mont-Royal
-73.596619595186,45.524086968516,52527,1136239,1589,\P RESERVE S3R 09h-23h,R-PF,3,Réel,297252.375,5042690,-73.596619595186,45.524086968516,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5979629370882,45.5254715773978,229543,1141038,1683,\P RESERVE TAXIS,R-TA,2,Réel,297147.625,5042844,-73.5979629370882,45.5254715773978,STATIONNEMENT,Le Plateau-Mont-Royal
-73.597419496504,45.526065936183,23983,1140611,14136,\P 18h30-19h30 JEUDI  1 AVRIL AU 1 DEC.,SU-SY-A,0,Réel,297190.156,5042910,-73.597419496504,45.526065936183,STATIONNEMENT,Le Plateau-Mont-Royal
-73.597419496504,45.526065936183,23983,1140612,2440,\P LIVRAISON SEULEMENT 08h-17h LUN. AU VEN.,SL-JC,2,Réel,297190.156,5042910,-73.597419496504,45.526065936183,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5962473865013,45.5270387562357,21533,1146033,2413,\P EN TOUT TEMPS,SD-TT,0,Réel,297281.844,5043018,-73.5962473865013,45.5270387562357,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5967566506995,45.5272632858265,21536,1146032,2413,\P EN TOUT TEMPS,SD-TT,0,Réel,297242.094,5043043,-73.5967566506995,45.5272632858265,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5987480011124,45.5241931292181,34120,1073965,1686,\P RESERVE HANDICAPES (PICTO),R-TD,2,Réel,297086.125,5042702,-73.5987480011124,45.5241931292181,STATIONNEMENT,Le Plateau-Mont-Royal
-73.598190968662,45.5268526350803,224879,1070817,2413,\P EN TOUT TEMPS,SD-TT,3,Réel,297130,5042997.5,-73.598190968662,45.5268526350803,STATIONNEMENT,Le Plateau-Mont-Royal
-73.598190968662,45.5268526350803,224879,1070818,13823,\P 08h-09h LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JA-A,0,Réel,297130,5042997.5,-73.598190968662,45.5268526350803,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5986198699018,45.5241257519307,34122,1088701,1641,\P RESERVE S3R 09h30-23h,R-RA,0,Réel,297096.125,5042694.5,-73.5986198699018,45.5241257519307,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5986198699018,45.5241257519307,34122,1088700,32,\A 07h30-09h30 LUN. AU VEN.,AV-AG,0,Réel,297096.125,5042694.5,-73.5986198699018,45.5241257519307,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5988156600697,45.5242245651001,173435,1088697,1641,\P RESERVE S3R 09h30-23h,R-RA,3,Réel,297080.844,5042705.5,-73.5988156600697,45.5242245651001,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5988156600697,45.5242245651001,173435,1088698,1686,\P RESERVE HANDICAPES (PICTO),R-TD,3,Réel,297080.844,5042705.5,-73.5988156600697,45.5242245651001,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5983155481625,45.5274059290586,41901,1059109,14139,\P 18h30-19h30 LUNDI  1 AVRIL AU 1 DEC.,SU-UC-A,0,Réel,297120.344,5043059,-73.5983155481625,45.5274059290586,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5960602046516,45.5263595351185,222932,1059095,2728,\P 07h-18h LUN. AU VEN.,SV-OC,3,Réel,297296.375,5042942.5,-73.5960602046516,45.5263595351185,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5960602046516,45.5263595351185,222932,1059096,14139,\P 18h30-19h30 LUNDI  1 AVRIL AU 1 DEC.,SU-UC-A,0,Réel,297296.375,5042942.5,-73.5960602046516,45.5263595351185,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5964379735846,45.5265240313966,229739,1041897,2729,\P 08h-18h LUN. AU VEN.,SV-OD,3,Réel,297266.888,5042960.816,-73.5964379735846,45.5265240313966,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5962215045006,45.526425159625,229738,1040540,2729,\P 08h-18h LUN. AU VEN.,SV-OD,2,Réel,297283.784,5042949.808,-73.5962215045006,45.526425159625,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5974704319975,45.5268352553722,19599,1053150,14087,\P 08h-09h MER. 1 AVRIL AU 1 DEC.,SU-NA-A,0,Réel,297186.281,5042995.5,-73.5974704319975,45.5268352553722,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5977831694623,45.5253862466671,72845,1038248,14178,\P 07h-08h LUN. AU VEN. 1 AVRIL AU 1 DEC.,SV-AD-A,0,Réel,297161.656,5042834.5,-73.5977831694623,45.5253862466671,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5981955433284,45.5255748592258,72844,1038249,14178,\P 07h-08h LUN. AU VEN. 1 AVRIL AU 1 DEC.,SV-AD-A,0,Réel,297129.469,5042855.5,-73.5981955433284,45.5255748592258,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5981955433284,45.5255748592258,72844,1038250,1683,\P RESERVE TAXIS,R-TA,0,Réel,297129.469,5042855.5,-73.5981955433284,45.5255748592258,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5984425601413,45.5256826273579,72842,1038240,1683,\P RESERVE TAXIS,R-TA,3,Réel,297110.188,5042867.5,-73.5984425601413,45.5256826273579,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5981202107679,45.5247678488697,230925,1056165,1762,\P RESERVE DEBARCADERE HANDICAPES EN TOUT TEMPS,RD-TT,3,Réel,297135.244,5042765.809,-73.5981202107679,45.5247678488697,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5980736769289,45.5247381131377,149878,1056164,1762,\P RESERVE DEBARCADERE HANDICAPES EN TOUT TEMPS,RD-TT,2,Réel,297138.875,5042762.5,-73.5980736769289,45.5247381131377,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5977260649985,45.526371619715,23962,1028023,14113,\P 19h-20h MAR. 1 AVRIL AU 1 DEC.,SU-SB-A,0,Réel,297166.25,5042944,-73.5977260649985,45.526371619715,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5977260649985,45.526371619715,23962,1028024,1589,\P RESERVE S3R 09h-23h,R-PF,3,Réel,297166.25,5042944,-73.5977260649985,45.526371619715,STATIONNEMENT,Le Plateau-Mont-Royal
-73.598267211418,45.527217004416,41903,1034055,1589,\P RESERVE S3R 09h-23h,R-PF,2,Réel,297124.094,5043038,-73.598267211418,45.527217004416,STATIONNEMENT,Le Plateau-Mont-Royal
-73.598267211418,45.527217004416,41903,1034056,14087,\P 08h-09h MER. 1 AVRIL AU 1 DEC.,SU-NA-A,0,Réel,297124.094,5043038,-73.598267211418,45.527217004416,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5961611858792,45.5262244742519,19638,1019924,14087,\P 08h-09h MER. 1 AVRIL AU 1 DEC.,SU-NA-A,0,Réel,297288.469,5042927.5,-73.5961611858792,45.5262244742519,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5961611858792,45.5262244742519,19638,1019925,1589,\P RESERVE S3R 09h-23h,R-PF,0,Réel,297288.469,5042927.5,-73.5961611858792,45.5262244742519,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5968878699265,45.5265612999758,19624,1019917,14087,\P 08h-09h MER. 1 AVRIL AU 1 DEC.,SU-NA-A,0,Réel,297231.75,5042965,-73.5968878699265,45.5265612999758,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5979197993726,45.5268978598106,224919,1006415,13972,\P 08h-09h MAR. VEN. 1 AVRIL AU 1 DEC.,SB-VA-A,0,Réel,297151.188,5043002.5,-73.5979197993726,45.5268978598106,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5969076958292,45.5248290921919,167182,998922,2741,\P 07h-16h LUN. AU VEN.,SV-PJ,2,Réel,297229.969,5042772.5,-73.5969076958292,45.5248290921919,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5981082760793,45.5266952342539,226574,973117,13972,\P 08h-09h MAR. VEN. 1 AVRIL AU 1 DEC.,SB-VA-A,0,Réel,297136.438,5042980,-73.5981082760793,45.5266952342539,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5985900239226,45.525588017038,72876,944169,14180,\P 08h-09h LUN. AU VEN. 1 AVRIL AU 1 DEC.,SV-AF-A,0,Réel,297098.656,5042857,-73.5985900239226,45.525588017038,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5960733565063,45.5244518642998,72862,944158,14180,\P 08h-09h LUN. AU VEN. 1 AVRIL AU 1 DEC.,SV-AF-A,0,Réel,297295.094,5042730.5,-73.5960733565063,45.5244518642998,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5977585964161,45.5245989080711,20709,960346,1589,\P RESERVE S3R 09h-23h,R-PF,0,Réel,297163.469,5042747,-73.5977585964161,45.5245989080711,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5985957526868,45.5249761212136,220023,963861,1762,\P RESERVE DEBARCADERE HANDICAPES EN TOUT TEMPS,RD-TT,2,Réel,297098.125,5042789,-73.5985957526868,45.5249761212136,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5983882095696,45.5263980465131,220035,951358,13972,\P 08h-09h MAR. VEN. 1 AVRIL AU 1 DEC.,SB-VA-A,0,Réel,297114.531,5042947,-73.5983882095696,45.5263980465131,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5987963387762,45.525926268408,224917,951391,13972,\P 08h-09h MAR. VEN. 1 AVRIL AU 1 DEC.,SB-VA-A,0,Réel,297082.586,5042894.61,-73.5987963387762,45.525926268408,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5987963387762,45.525926268408,224917,951392,11,\A EN TOUT TEMPS,AD-TT,3,Réel,297082.586,5042894.61,-73.5987963387762,45.525926268408,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5981068274103,45.5265467620107,219084,933319,11,\A EN TOUT TEMPS,AD-TT,2,Réel,297136.531,5042963.5,-73.5981068274103,45.5265467620107,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5981366195493,45.524589585543,20699,933217,14094,\P 09h-10h MER. 1 AVRIL AU 1 DEC.,SU-NC-A,0,Réel,297133.938,5042746,-73.5981366195493,45.524589585543,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5981366195493,45.524589585543,20699,933218,1589,\P RESERVE S3R 09h-23h,R-PF,3,Réel,297133.938,5042746,-73.5981366195493,45.524589585543,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5985085608942,45.5247557357359,20697,933215,14094,\P 09h-10h MER. 1 AVRIL AU 1 DEC.,SU-NC-A,0,Réel,297104.906,5042764.5,-73.5985085608942,45.5247557357359,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5985085608942,45.5247557357359,20697,933216,1589,\P RESERVE S3R 09h-23h,R-PF,0,Réel,297104.906,5042764.5,-73.5985085608942,45.5247557357359,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5976199412546,45.5251524279956,72872,932049,2709,\P 08h-19h LUN. AU VEN.,SV-JD,2,Réel,297174.375,5042808.5,-73.5976199412546,45.5251524279956,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5976199412546,45.5251524279956,72872,932050,14180,\P 08h-09h LUN. AU VEN. 1 AVRIL AU 1 DEC.,SV-AF-A,0,Réel,297174.375,5042808.5,-73.5976199412546,45.5251524279956,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5968492491826,45.5248021465712,167183,925578,2741,\P 07h-16h LUN. AU VEN.,SV-PJ,3,Réel,297234.531,5042769.5,-73.5968492491826,45.5248021465712,STATIONNEMENT,Le Plateau-Mont-Royal
-73.596696293591,45.5258910819652,23967,925370,14113,\P 19h-20h MAR. 1 AVRIL AU 1 DEC.,SU-SB-A,0,Réel,297246.625,5042890.5,-73.596696293591,45.5258910819652,STATIONNEMENT,Le Plateau-Mont-Royal
-73.596696293591,45.5258910819652,23967,925371,1589,\P RESERVE S3R 09h-23h,R-PF,0,Réel,297246.625,5042890.5,-73.596696293591,45.5258910819652,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5979138368312,45.5264569436604,23961,918417,14113,\P 19h-20h MAR. 1 AVRIL AU 1 DEC.,SU-SB-A,0,Réel,297151.594,5042953.5,-73.5979138368312,45.5264569436604,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5978090663291,45.5262500703629,156600,918395,14136,\P 18h30-19h30 JEUDI  1 AVRIL AU 1 DEC.,SU-SY-A,0,Réel,297159.75,5042930.5,-73.5978090663291,45.5262500703629,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5977058111905,45.5273839562264,218430,939305,2413,\P EN TOUT TEMPS,SD-TT,3,Réel,297167.969,5043056.5,-73.5977058111905,45.5273839562264,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5977058111905,45.5273839562264,218430,939306,13823,\P 08h-09h LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JA-A,0,Réel,297167.969,5043056.5,-73.5977058111905,45.5273839562264,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5987144673541,45.5262897843197,98810,939295,13823,\P 08h-09h LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JA-A,0,Réel,297089.031,5042935,-73.5987144673541,45.5262897843197,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5987144673541,45.5262897843197,98810,939296,2439,\P LIVRAISON SEULEMENT 08h-16h LUN. AU VEN.,SL-JB,3,Réel,297089.031,5042935,-73.5987144673541,45.5262897843197,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5971805931781,45.5241719774113,52509,908958,1589,\P RESERVE S3R 09h-23h,R-PF,0,Réel,297208.563,5042699.5,-73.5971805931781,45.5241719774113,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5973578447141,45.5244192823948,20704,908955,1589,\P RESERVE S3R 09h-23h,R-PF,2,Réel,297194.75,5042727,-73.5973578447141,45.5244192823948,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5971611243916,45.5261066490074,23965,913299,1589,\P RESERVE S3R 09h-23h,R-PF,0,Réel,297210.344,5042914.5,-73.5971611243916,45.5261066490074,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5971611243916,45.5261066490074,23965,913298,14113,\P 19h-20h MAR. 1 AVRIL AU 1 DEC.,SU-SB-A,0,Réel,297210.344,5042914.5,-73.5971611243916,45.5261066490074,STATIONNEMENT,Le Plateau-Mont-Royal
